ID number for us,LOCATION CLUES,COMMENTS,LINK,LINK TO IMAGE FILE,LAT,LONG,TYPOLOGY
95,snatchems,located,https://artuk.org/discover/artworks/lancaster-from-snatchems-153069/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/33,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1988_11-001.jpg,"54.04728465940282, -2.844484153218521",,Painting
96,the lune halton forge,located,https://artuk.org/discover/artworks/halton-forge-on-the-lune-153148/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/32,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1951_1-001.jpg,"54.07583016029862, -2.7571155067922106",,Painting
97,bridge end,located,https://artuk.org/discover/artworks/bridge-end-lancaster-153159/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/32,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1935_35-001.jpg,"54.05495463566168, -2.797400093993935",,Painting
98,crook o'lune,located,https://artuk.org/discover/artworks/crook-olune-153122/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/31,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1965_20-001.jpg,"54.074958106171344, -2.732919928128396",,Painting
99,lancaster,located,https://artuk.org/discover/artworks/lancaster-from-the-east-153114/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/31,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_2001_8-001.jpg,"54.04903344770744, -2.7476019112986867",,Painting
100,vale of lonsdale,located,https://artuk.org/discover/artworks/vale-of-lonsdale-153295/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/30,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1919_1-001.jpg,"54.196368644195225, -2.598248356206729",,Painting
101,east road,located,https://artuk.org/discover/artworks/st-peters-cathedral-east-road-lancaster-153031/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/30,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1948_31_3-001.jpg,"54.04722313716356, -2.793807828168073",,Painting
102,lancaster old stone quarry,likely,https://artuk.org/discover/artworks/lancaster-from-the-old-stone-quarry-153277/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/30,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1907_6-001.jpg,"54.04559317113069, -2.7818131203336747",,Painting
103,grassyard park,"abraham and henry rawlinson estate, slavery connection",https://artuk.org/discover/artworks/grassyard-park-caton-153021/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/30,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1939_2_3-001.jpg,"54.065407753299624, -2.718179508522445",,Painting
104,"lune valley, Ingleborough",,https://artuk.org/discover/artworks/ingleborough-and-the-lune-valley-153272/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/30,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LMA_221-001.jpg,"54.22783344827159, -2.6117650451666954",,Painting
105,lancaster,,https://artuk.org/discover/artworks/lancaster-from-the-north-east-153262/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/30,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1949_1-001.jpg,"54.07556571419082, -2.7788258108280672",,Painting
106,ladies walk,,https://artuk.org/discover/artworks/lancaster-from-ladies-walk-153269/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/29,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1930_30-001.jpg,"54.056777211655614, -2.792435862510539",,Painting
107,"lancaster, old stone quarry",,https://artuk.org/discover/artworks/lancaster-from-the-stone-quarries-153147/search/2024--location_address:lancaster-la2-uk--location_latitude:5401128809999999--location_longitude:-2685728--location_radius:10/page/28,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1998_17-001.jpg,"54.04559317113069, -2.7818131203336747",,Painting
108,The Fells and Lune from Kirkby Lonsdale,"Painted from the churchyard adjecent to ""Ruskin's View""",https://artuk.org/discover/artworks/the-fells-and-lune-from-kirkby-lonsdale-churchyard-21011/view_as/grid/search/2024--keyword:river-lune/page/1,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/WYR/BPM/WYR_BPM_P18-001.jpg,"54.203613467403294, -2.5974250973479225",,Painting
109,Hornby Castle and River Lune,Located,https://artuk.org/discover/artworks/hornby-castle-lancashire-104082/view_as/grid/search/2024--keyword:river-lune/page/1,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CHE/WAGA/CHE_WAGA_1950_4-001.jpg,"54.110418878065595, ",-2.63555115,Painting
110,Windings of the Lune,"if you can ID the structure and the tall hill, you can locate it",https://artuk.org/discover/artworks/the-windings-of-the-lune-84362/view_as/grid/search/2024--keyword:river-lune/page/1,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_1757-001.jpg,,,Painting
111,Lancaster from Aqueduct (after watercolour by Turner),Located,https://artuk.org/discover/artworks/lancaster-from-the-aqueduct-237900/view_as/grid/search/2024--keyword:river-lune/page/1,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LSE/RWS/LSE_RWS_T0829-2.jpg,"54.06844853554911, ",-2.789465544,Painting
112,Lune near Kirkby,approx,https://artuk.org/discover/artworks/the-valley-of-the-lune-near-kirkby-lonsdale-170533/view_as/grid/search/2024--keyword:river-lune/page/1,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/GLA/HAG/GLA_HAG_43876-001.jpg,"54.205506256759314, -2.598013412513647",,Painting
113,Lancaster from aqueduct,located,https://artuk.org/discover/artworks/lancaster-from-the-aqueduct-over-river-lune-20216/search/2024--keyword:river-lune/page/2,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/STF/STKMG/STF_STKMG_1967_FA_12A_44-001.jpg,"54.06844853554911, ",-2.789465544,Painting
114,Kirkby Lonsdale,approx,https://artuk.org/discover/artworks/kirkby-lonsdale-westmorland-84360/search/2024--keyword:lonsdale-424207/page/2,https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/GL/GM/GL_GM_3044-001.jpg,"54.205506256759314, -2.598013412513647",,Painting
115,Valley of the Lune,Near Kirkby Lonsdale -approx - ,https://artuk.org/discover/artworks/the-valley-of-the-lune-near-kirkby-lonsdale-170533/search/2024--keyword:lonsdale-424207/page/5,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/GLA/HAG/GLA_HAG_43876-001.jpg,"54.205506256759314, -2.598013412513647",,Painting
116,"Haymaking, Twilight, Caton",Caton,https://artuk.org/discover/artworks/haymaking-twilight-caton-151888/search/2024--keyword:caton-424316/page/2,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/HARR/LAN_HARR_PRSMG_P18-001.jpg,,,Painting
117,Hornby,,https://artuk.org/discover/artworks/hornby-near-lancaster-20210/view_as/grid/search/2024--keyword:farleton/page/1,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/STF/STKMG/STF_STKMG_1967_FA_12A_39-001.jpg,,,Painting
118,near Wray,Either River Hindburn or River Roeburn,https://artuk.org/discover/artworks/near-wray-153028/search/2024--keyword:wray/page/2,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/LAN/LANCM/LAN_LANCM_LANLM_1991_2_1-001.jpg,,,Painting
,,,,,,,
,"Other ways of seeing enclosure: country house views, surveyor's notes drawings, etchings and prints",,,,,,
